event_id,track_idx,predicted_label,predicted_pdg
285.0,0.0,muon,13
285.0,1.0,pion,211
286.0,0.0,muon,13
286.0,1.0,pion,211
287.0,0.0,muon,13
287.0,1.0,muon,13
288.0,0.0,muon,13
288.0,1.0,muon,13
288.0,2.0,muon,13
288.0,3.0,pion,211
288.0,4.0,pion,211
289.0,0.0,muon,13
289.0,1.0,pion,211
290.0,0.0,muon,13
290.0,1.0,pion,211
291.0,0.0,muon,13
291.0,1.0,muon,13
292.0,0.0,muon,13
292.0,1.0,pion,211
293.0,0.0,pion,211
293.0,1.0,other,0
294.0,0.0,proton,2212
294.0,1.0,other,0
295.0,0.0,muon,13
295.0,1.0,proton,2212
295.0,2.0,pion,211
296.0,0.0,muon,13
296.0,1.0,proton,2212
297.0,0.0,muon,13
297.0,1.0,muon,13
298.0,0.0,muon,13
298.0,1.0,other,0
299.0,0.0,pion,211
299.0,1.0,pion,211
300.0,0.0,muon,13
300.0,1.0,pion,211
301.0,0.0,muon,13
301.0,1.0,muon,13
302.0,0.0,muon,13
302.0,1.0,other,0
303.0,0.0,proton,2212
303.0,1.0,other,0
304.0,0.0,muon,13
304.0,1.0,muon,13
305.0,0.0,muon,13
305.0,1.0,muon,13
306.0,0.0,pion,211
306.0,1.0,electron,11
307.0,0.0,muon,13
307.0,1.0,proton,2212
308.0,0.0,muon,13
308.0,1.0,pion,211
309.0,0.0,other,0
309.0,1.0,other,0
310.0,0.0,other,0
310.0,1.0,proton,2212
311.0,0.0,other,0
311.0,1.0,muon,13
312.0,0.0,proton,2212
312.0,1.0,other,0
313.0,0.0,muon,13
313.0,1.0,proton,2212
314.0,0.0,pion,211
314.0,1.0,proton,2212
315.0,0.0,muon,13
315.0,1.0,muon,13
316.0,0.0,muon,13
316.0,1.0,muon,13
317.0,0.0,muon,13
317.0,1.0,proton,2212
318.0,0.0,muon,13
318.0,1.0,proton,2212
319.0,0.0,muon,13
319.0,1.0,proton,2212
320.0,0.0,muon,13
320.0,1.0,proton,2212
321.0,0.0,muon,13
321.0,1.0,muon,13
322.0,0.0,muon,13
322.0,1.0,other,0
323.0,0.0,muon,13
323.0,1.0,muon,13
324.0,0.0,muon,13
324.0,1.0,other,0
325.0,0.0,muon,13
325.0,1.0,pion,211
326.0,0.0,pion,211
326.0,1.0,other,0
327.0,0.0,muon,13
327.0,1.0,muon,13
328.0,0.0,muon,13
328.0,1.0,other,0
329.0,0.0,muon,13
329.0,1.0,pion,211
330.0,0.0,muon,13
330.0,1.0,muon,13
331.0,0.0,other,0
331.0,1.0,other,0
332.0,0.0,pion,211
332.0,1.0,proton,2212
333.0,0.0,pion,211
333.0,1.0,electron,11
334.0,0.0,pion,211
334.0,1.0,other,0
335.0,0.0,muon,13
335.0,1.0,proton,2212
336.0,0.0,pion,211
336.0,1.0,pion,211
337.0,0.0,muon,13
337.0,1.0,pion,211
338.0,0.0,muon,13
338.0,1.0,other,0
338.0,2.0,other,0
339.0,0.0,other,0
339.0,1.0,other,0
340.0,0.0,muon,13
340.0,1.0,pion,211
341.0,0.0,muon,13
341.0,1.0,pion,211
342.0,0.0,muon,13
342.0,1.0,other,0
343.0,0.0,muon,13
343.0,1.0,muon,13
344.0,0.0,proton,2212
344.0,1.0,proton,2212
345.0,0.0,muon,13
