event_id,x_reco_ml,y_reco_ml,z_reco_ml,nLinesU,nLinesV
207,-2392.731426459779,-2036.8761998447626,14295.466286613746,2,2
208,2435.1960138963314,-948.9602758263767,16474.716910588362,3,3
209,-2622.7827140648155,-2094.773722148474,11994.883067699671,2,2
210,-754.4539235267123,-1793.4828040330392,14565.107027549677,4,4
211,668.8804396961636,-1603.152348522452,12212.044956623467,2,2
212,686.9953472880258,-1403.3342770560012,14671.772114515048,2,2
213,-2140.3744002616286,-1903.2704376792808,13528.157276315193,2,2
214,-671.0041579486145,-936.8495459272018,11923.580370335489,4,3
215,-947.8461480338141,-884.0371220196337,13440.575979263294,2,2
216,-2072.1764037572075,-1208.2297239136258,12640.73976207917,2,4
217,-258.9329331916171,-701.5852888431101,15495.8809487003,3,2
218,-855.1970183201852,-1358.350342493007,15127.067640245981,2,2
219,-935.0678538904435,-1255.686467241908,12266.922622276274,4,3
220,-223.80020019809933,-1719.7797547207213,14332.713769539749,2,4
221,544.7313634773743,-831.9988002069459,16066.196588676992,2,2
222,188.13016556735846,-1598.404299838235,13741.133539406048,3,3
223,-628.6721595460285,-1657.8376306074795,14060.675500067564,2,2
224,870.088894026653,-1487.2108898777324,12229.954090729057,4,4
225,-2681.310649808749,-1692.6363634874822,12674.151144614092,4,4
226,2030.7398406193695,-1827.1489432615326,13118.000370457603,2,4
227,2130.263099663298,-1702.7600678207161,11823.653317184808,2,3
228,620.5548542641167,-1822.6631356197156,12759.65228898156,3,3
229,1226.5362560170593,-894.514334531211,12365.29945024488,3,3
230,474.18610859642865,-2088.51848104829,14918.788264165158,4,4
231,1811.5166482711325,-1675.6397822691392,14497.73642709661,3,3
232,2516.2386213594514,-928.4380324678762,13299.231602995656,2,3
233,-1907.2745283148715,-1288.5579873133931,14553.57331519629,2,2
234,713.1444863748986,-1742.1730218654295,16183.54311497014,2,2
235,2710.2435490387084,-868.6428120663745,11765.833132781354,3,2
236,-1138.3777157637883,-1511.7980153505698,13457.797513839645,3,3
