event_id,x_reco,y_reco,z_reco,multiplicity,mean_start_dist,mean_dca,max_dca,avg_length,avg_nhits,avg_energy,avg_dedx,max_opening_angle,mean_opening_angle,min_dist_to_true,label
31,450.0792935203931,376.8619114538451,12000.5,1,0.0,0.0,0.0,135.38604354858398,5.0,17.20717477798462,0.12709710932508148,0.0,0.0,606.1214412548444,0
32,-1681.7863117640998,-2749.5566445254153,11560.5,1,0.0,0.0,0.0,1530.9810791015625,33.5,87.35024642944336,0.05705507900901282,0.0,0.0,1387.0428344360394,0
32,-1783.653706391797,74.59044792009809,12055.5,1,0.0,0.0,0.0,155.60478973388672,8.5,25.180716514587402,0.16182481630322007,0.0,0.0,562.1520722152404,0
32,-220.49057448605163,-128955.6360111603,14993.0,1,0.0,0.0,0.0,362.6120300292969,6.0,12.622814655303955,0.03481079944943941,0.0,0.0,121873.48122909124,0
32,-1564.8088714465048,414.77938146094675,11780.5,1,0.0,0.0,0.0,218.25086212158203,7.0,19.208659648895264,0.08801183858872734,0.0,0.0,758.3093938123558,0
33,-25.09365986499688,-231.6958902313927,12770.5,1,0.0,0.0,0.0,1104.000244140625,21.5,66.06912231445312,0.05984520625344843,0.0,0.0,790.06389934336,0
33,-1783.101038104137,1271.9182160949358,11670.5,1,0.0,0.0,0.0,301.34031677246094,10.0,33.16330814361572,0.1100526756552692,0.0,0.0,1070.218540343728,0
33,170.87602557594042,-1753.929175018755,11945.5,1,0.0,0.0,0.0,235.83992767333984,8.0,17.958421230316162,0.07614665339954751,0.0,0.0,943.3452174457325,0
33,43.694996993126324,-4569.286689768283,11835.5,1,0.0,0.0,0.0,254.32656860351562,8.0,30.714414596557617,0.12076762080032657,0.0,0.0,1291.2741444664716,0
34,-2720.7448313015693,-1069.162948143181,12880.5,1,0.0,0.0,0.0,258.2977066040039,9.5,35.543437004089355,0.13760647537835471,0.0,0.0,273.73814023793085,1
34,-2734.329497992797,647.0424351142283,12935.5,1,0.0,0.0,0.0,110.45246124267578,5.0,11.894229888916016,0.1076864178045171,0.0,0.0,545.5500361625085,0
35,-1280.5239726232849,46262.84137885229,12330.5,1,0.0,0.0,0.0,825.1859130859375,21.5,85.44561004638672,0.10354710216373766,0.0,0.0,45200.91780438403,0
35,-1287.126232036696,-54509.98244712944,12110.5,1,0.0,0.0,0.0,647.3109130859375,18.5,69.51553153991699,0.10739125532198165,0.0,0.0,47827.296075117716,0
36,755.476358073953,-361.1013698630138,11890.5,1,0.0,0.0,0.0,740.8402099609375,22.0,45.203800201416016,0.061016936707308976,0.0,0.0,513.6796613151288,0
36,2003.1164095526015,1910.0775007055224,14113.0,1,0.0,0.0,0.0,1405.6521606445312,23.0,66.78045272827148,0.047508519246789165,0.0,0.0,1610.281851054923,0
37,1933.5625483209683,1402.3770145660847,11835.5,1,0.0,0.0,0.0,749.2544250488281,21.5,57.403738021850586,0.0766144798118605,0.0,0.0,428.8815114605269,0
37,1724.906099731466,1142.4170190692566,14673.0,1,0.0,0.0,0.0,798.6172180175781,13.0,36.678327560424805,0.04592729374339321,0.0,0.0,1029.985993801313,0
38,-132.8355789868724,-4619.3350026485605,14273.0,1,0.0,0.0,0.0,1297.6708984375,20.5,67.06309700012207,0.05167958769890842,0.0,0.0,1253.727711196913,0
38,1240.5350860852354,-3055.9305341272966,12000.5,1,0.0,0.0,0.0,508.5781555175781,16.0,61.776710510253906,0.12146945329844923,0.0,0.0,589.5367283281207,0
39,1241.4903869655614,-1023.2244097286311,12440.5,1,0.0,0.0,0.0,1157.8474731445312,25.5,61.50880432128906,0.053123408521366676,0.0,0.0,43.04442752174035,1
39,1197.380282394813,-549.9073116226209,12550.5,1,0.0,0.0,0.0,225.9699249267578,9.0,19.67132806777954,0.08705285924290802,0.0,0.0,516.0544301418646,0
40,-1920.3805891040488,753.4309349881805,12660.5,1,0.0,0.0,0.0,915.1416931152344,19.5,39.90538024902344,0.04360568483464185,0.0,0.0,454.9480509236967,0
40,-2824.625436628522,1822.8821557348529,13485.5,1,0.0,0.0,0.0,1000.8923034667969,17.0,35.20260047912598,0.035171217080193856,0.0,0.0,1593.2671804187528,0
