pdg,label,length,nhits,dca,angle,dist_to_vtx,z_depth,start_z,end_z,straightness,total_energy,dedx,length_rank,is_longest,z_depth_rank
13,muon,2627.1438,30,2086.1649765953894,19.654135461055965,6219.740827151781,2625.0,13128.0,15753.0,41.85788239718367,134.70595,0.051274676,2,0,1
211,pion,1203.2538,9,1893.652802037012,21.231175348510163,5225.892982428715,1200.0,14233.0,15433.0,354.0807017780712,15.024564,0.012486612,3,0,3
211,pion,1391.0345,21,6.423879321410203,83.21781816219796,120.14126366936777,1360.0,13913.0,15273.0,36041.525116869656,48.97938,0.03521076,2,0,1
211,pion,1645.0204,16,6.423879321410027,171.97229502413225,374.581380210957,1040.0,14153.0,15193.0,3213.0799304748252,23.498917,0.014284879,1,1,2
2112,other,1304.1224,14,190.11433814913056,6.923166507698904,1229.1254404024394,1120.0,15033.0,16153.0,9940.62246297976,31.817627,0.024397729,1,1,1
211,pion,1021.4213,17,190.11433814913124,9.185418421904535,1137.6279160801203,960.0,14953.0,15913.0,15064.722149348663,30.843235,0.03019639,2,0,2
13,muon,3583.824,51,92.3308735333545,159.43064869967492,1015.790894024546,3360.0,14713.0,18073.0,89237.18146282634,150.84215,0.04208972,1,1,1
22,other,1457.1522,12,92.33087353335458,2.9775619463932856,1848.0299269245415,720.0,14953.0,15673.0,3728.8163768965337,23.986912,0.0164615,2,0,2
2212,proton,1752.1213,31,110.37315135523963,17.83661570421356,897.0058457572114,1595.0,11863.0,13458.0,18260.693117498035,67.34358,0.038435455,1,1,1
-211,pion,1440.1403,19,110.37315135523951,169.8691267978648,1109.9090771459673,990.0,11918.0,12908.0,5296.013062239518,19.19744,0.013330257,2,0,2
13,muon,1761.7242,25,934.8155897994575,111.69305404227147,1073.8768728428915,1760.0,14713.0,16473.0,2291.3626456473166,64.30075,0.03649876,1,1,1
13,muon,1713.9778,21,934.8155897994575,121.03582808752041,1107.8295012700266,1600.0,15673.0,17273.0,2224.197642180783,66.10282,0.038566906,2,0,2
13,muon,2911.4514,42,232.40026160784052,57.244083158643456,318.1211597760626,2745.0,12688.0,15433.0,33806.88133083686,125.171165,0.042992704,1,1,1
2212,proton,988.41125,18,232.40026160784026,54.423420951214894,182.2407187229138,955.0,12798.0,13753.0,21274.230186551213,80.39741,0.08134004,2,0,2
13,muon,3031.345,43,576.3387857631069,35.86060213103197,1221.7655220985066,2955.0,11918.0,14873.0,11572.177968970345,99.16457,0.032713063,1,1,1
13,muon,1240.6058,14,576.3387857631064,170.46948720106462,3261.855647061025,1200.0,13833.0,15033.0,8622.993856898758,65.77368,0.05301739,2,0,2
13,muon,4681.674,71,865.419379366696,171.54102293546512,6417.783558099958,4535.0,11698.0,16233.0,16864.668347869385,217.6784,0.04649585,1,1,1
13,muon,3340.4177,48,865.4193793666958,10.994840159333751,3435.5099796795043,3200.0,14953.0,18153.0,27304.20527370807,159.35435,0.04770492,2,0,2
13,muon,2654.4014,32,141.20882158368593,29.13879440124581,488.84880403687345,2400.0,14633.0,17033.0,25597.642746945847,82.11688,0.030936122,1,1,1
211,pion,1227.2651,14,141.20882158368607,29.99298658477474,558.2646001458878,880.0,14633.0,15513.0,25134.31522410579,19.598125,0.015968941,2,0,2
13,muon,3809.1018,48,504.13579493558444,8.395122614758561,4676.48046743826,3630.0,13403.0,17033.0,15264.06992334785,204.58899,0.05371056,1,1,1
2212,proton,886.3299,15,504.1357949355841,5.846173883120871,4966.591109068211,660.0,12853.0,13513.0,1356.9717018842848,47.40082,0.053479888,2,0,2
2212,proton,2246.2185,30,27.16460646548118,167.15686462003276,140.39719861134773,2160.0,14073.0,16233.0,12069.0733052801,61.192856,0.02724261,1,1,1
13,muon,1629.5062,10,27.164606465480517,2.021202583324258,307.26603211263665,720.0,14073.0,14793.0,9653.655945335664,17.222416,0.010569101,2,0,2
13,muon,2079.7554,26,333.32580415050575,177.02344645908013,5297.180825544701,1840.0,14633.0,16473.0,5892.014305877105,62.099167,0.02985888,1,1,1
13,muon,1073.0653,17,333.32580415050546,4.340295359370157,4262.298064629353,795.0,12798.0,13593.0,2716.635445090705,58.198845,0.05423607,2,0,2
211,pion,745.83246,15,17.263747617343263,167.75144865305404,170.92418857665103,715.0,12193.0,12908.0,565.3103073928968,29.986425,0.04020531,2,0,1
211,pion,1195.211,11,17.263747617343768,176.79172210286958,700.4041468601977,440.0,12248.0,12688.0,1618.8018150405233,17.179344,0.014373481,1,1,2
13,muon,1874.6637,21,290.3848133991665,62.801306401406144,264.16258953961136,1730.0,12743.0,14473.0,85082.75413944872,32.738346,0.017463583,1,1,1
-211,pion,1841.4365,22,261.9958069213904,101.29954601106209,606.0061236721541,1600.0,12633.0,14233.0,43859.35946678412,40.00228,0.02172341,2,0,2
22,other,1763.3567,14,284.80859377235595,11.318168070643006,536.9099694881688,740.0,12853.0,13593.0,12968.894362847166,14.817857,0.00840321,3,0,3
