pdg,is_muon,length,nhits,dca,angle,z_depth,straightness,total_energy,dedx
22,0,1662.9103,21,209.50965684273396,21.69402238241601,1150.0,43693.47728080984,25.898874,0.015574426
-211,0,744.2533,9,371.30848778612574,34.93806077346892,440.0,203.5271066983911,9.542291,0.012821294
-13,1,3614.7424,53,217.13122272093932,122.52601037673818,3590.0,11381.069222015183,101.37931,0.028046068
13,1,3181.9631,44,379.6101604373317,92.40248842018266,3120.0,3432.744389366683,162.50427,0.051070444
13,1,3456.106,50,94.86980975961886,82.1836766845722,2935.0,32032.0112195463,117.979836,0.034136638
2212,0,1993.2473,12,289.7115656658721,18.682146862602877,605.0,3342.1300543559046,39.04995,0.019591121
2212,0,1747.4738,31,259.069260540025,53.54162036436934,1540.0,32369.38011303273,74.29183,0.042513847
22,0,1623.6003,23,125.47172205909565,69.43635470681254,1485.0,11546.059387411748,39.501728,0.02432971
2112,0,1448.5189,8,84.51525519470302,83.09150129918885,935.0,6136.650704577126,8.692976,0.0060012857
13,1,2882.171,38,149.42954849111382,90.42669557990493,2835.0,4702.610688199374,131.8254,0.045738228
13,1,2140.4365,28,1583.1511501786047,170.8078639990741,2085.0,776.6984655038498,122.388084,0.05717903
-13,1,4513.4663,62,79.24107803684426,107.01256491845513,4510.0,8215.378732287174,124.22035,0.027522162
-211,0,1500.2136,22,277.7018457429855,41.871747439205265,1440.0,21842.033427116014,46.082947,0.030717589
13,1,4637.8877,62,116.8920388906456,39.87117354401721,4635.0,13130.219060850966,118.82659,0.025620842
211,0,449.0539,8,342.0144112461796,109.5140819451553,385.0,249.63753568716285,22.76418,0.050693646
-211,0,1182.1187,22,147.77466188818963,46.418161403932075,1180.0,9656.677734978004,128.26723,0.10850622
-211,0,1157.247,13,42.91837031654342,141.37075755896578,960.0,18346.400901718782,34.476517,0.029791841
13,1,1526.5708,19,64.4705044481361,23.423941071594108,1520.0,422.7722589520313,49.062843,0.032139253
13,1,1192.1168,15,671.6765718213951,78.10095904967712,1120.0,440.08942134876713,47.02652,0.03944791
13,1,4338.7847,60,169.60411483165345,108.46591605521283,4115.0,43307.55712432652,210.66205,0.04855324
2212,0,1544.8878,15,218.74738613979108,44.071861553582764,1045.0,5490.968365890415,17.351158,0.011231339
13,1,1899.9846,30,542.9699367795168,62.817248630270214,1535.0,13749.779552528174,54.45084,0.028658569
211,0,825.0,13,274.9164523217115,105.45171752325913,825.0,68.85584581199838,25.298859,0.030665284
13,1,2952.8398,43,83.69700435035165,88.93551168942058,2935.0,4196.147689325638,82.916595,0.028080288
13,1,1673.8568,27,3217.0563487625905,166.89569524343884,1500.0,26144.006192993707,119.16774,0.07119351
2212,0,1296.2631,24,776.0520255417154,115.6153236605772,1265.0,115564.34307144002,67.15755,0.051808577
22,0,991.42456,14,132.1330813861848,59.59295968226902,935.0,386.6883001830716,23.041834,0.023241136
13,1,2414.2268,27,351.3399651618864,123.12650306525329,1920.0,7576.79184358067,81.59057,0.033795733
2212,0,573.52106,9,37.233341339480205,123.97024248604022,560.0,102.80668544375925,20.49974,0.035743657
13,1,1748.9265,29,115.98060315251482,120.38032479997784,1645.0,24438.620975101236,68.02848,0.03889728
211,0,861.35406,19,323.7318207975539,78.46238921229317,825.0,14871.670826194422,50.195187,0.058274742
-13,1,4241.536,54,320.1727465488714,90.39704844963569,4135.0,3820.963812751361,135.93607,0.03204878
-211,0,1291.8369,16,26.511826550192577,119.64774988861168,880.0,10817.23515278863,43.337597,0.033547267
13,1,5463.9917,57,646.9111619170174,7.9538780795013775,5365.0,33947.26511481997,206.805,0.037848704
13,1,4573.477,54,551.968564051768,35.106016729227626,4410.0,73913.91834457357,112.653534,0.024631923
22,0,1943.2578,25,148.63951082663445,15.02886770845275,935.0,7865.486003047914,38.870964,0.02000299
22,0,1029.4769,16,50.195812883857364,145.27368279866798,880.0,38731.33090232301,23.42287,0.022752205
13,1,3109.4685,47,272.52758719023905,62.70534298226607,2855.0,36325.166875496434,110.36541,0.035493337
2212,0,799.56714,13,261.02641326904023,59.86527424550429,660.0,219.33607821055313,60.483364,0.075645134
13,1,2284.3262,30,5271.19959383272,16.229080543946896,2240.0,7068.435095577189,100.79279,0.044123642
13,1,2151.0432,28,57.24199707084091,88.10481946460624,2080.0,13428.184744065267,84.199684,0.03914365
13,1,2480.5674,33,303.0495236843275,85.64179059014059,2480.0,1656.097593523553,74.909615,0.030198582
13,1,1797.4143,28,84.5992134964538,70.57654024368549,1775.0,237.16251304376237,106.05855,0.059006177
2212,0,952.6303,15,265.9670576350706,112.46370934347004,950.0,648.1900201900048,70.92871,0.07445565
22,0,646.3446,11,227.82561769700192,40.96599336181107,630.0,23112.263235096925,33.38442,0.051651113
13,1,1670.6119,29,3763.2358302845546,12.310235867978623,1560.0,8054.257210719076,124.2684,0.07438496
2212,0,1682.1152,12,300.76086745215184,10.259742206910861,720.0,11966.426985133701,49.255577,0.029281927
