event_id,track_idx,truth_vtx_id,pdg,is_muon,chord_length,polyline_length,nhits,z_depth,straightness_mse,total_energy,dedx_chord,dedx_poly,dca_to_reco_vertex
57,1,619,13,1,1775.0936279296875,2333.9970703125,24,1175.0,25177.431640625,70.00357818603516,0.03943655539323926,0.029993001737856656,819.2479072731917
58,0,686,211,0,1447.833740234375,3294.12060546875,24,1280.0,92631.7890625,75.3131103515625,0.05201778923826629,0.02286288796667951,75.92328187175254
58,1,686,22,0,1905.7896728515625,2127.783203125,14,1680.0,7753.58984375,18.36583709716797,0.009636864633486992,0.00863144190169126,75.92328406877742
59,0,1012,13,1,3353.11083984375,3522.735595703125,42,3280.0,8275.28515625,94.41473388671875,0.028157355481609532,0.026801538554832673,673.4082845175013
59,1,1013,13,1,1445.066650390625,1722.32373046875,17,1120.0,2985.601806640625,49.57394027709961,0.03430564276305108,0.028783172059997975,673.4082878221152
60,0,1421,13,1,1743.30908203125,2146.9814453125,21,1440.0,8915.4072265625,61.47857666015625,0.03526544850470423,0.02863488960017903,1054.843485843334
60,1,1418,-211,0,1168.06201171875,1666.6051025390625,15,825.0,10532.546875,32.427574157714844,0.02776186010021775,0.019457263216290193,842.1958793142288
60,2,1418,-211,0,2372.3955078125,3072.053466796875,14,660.0,4381.39794921875,79.78204345703125,0.03362931821203598,0.02597026527022567,778.3372100276956
61,0,1502,13,1,5434.283203125,9045.2392578125,75,5225.0,62512.98828125,161.57052612304688,0.029731708871951187,0.01786249335345067,124.33502288256447
61,1,1502,2212,0,919.7256469726562,1134.2327880859375,17,880.0,2633.8271484375,62.12822723388672,0.06755082609513641,0.05477555214986383,124.33504791681693
62,0,1693,13,1,5566.08154296875,5905.61328125,81,5380.0,5172.27783203125,205.3223419189453,0.03688813042602924,0.03476731918272274,1155.569497201641
62,1,1695,13,1,1833.1944580078125,2127.477294921875,20,1440.0,7171.1904296875,66.89991760253906,0.036493628545681514,0.03144565526608629,1155.5694727496682
63,0,2167,130,0,1794.9278564453125,2611.9521484375,18,1600.0,21860.890625,30.89467430114746,0.01721220949923385,0.011828193069933924,76.74226645364641
